jp_id,jp_sentence,en_id,en_sentence,n5,n4,n3,n2,n1,level,tokens
182865,?????????????????????????????????????,19986,"My argument is indebted in a number of places to the aesthetic theories of Adorno, Horkheimer and others.",1,1,6,1,2,N1,
78469,??????????????????????,11848304,"If it hadn't been for the storm, we would've arrived sooner.",0,1,0,0,1,N3,
188851,?????????????,25998,Could you please tell me how to get to the station?,1,3,0,0,0,N3,
191169,????????????????????????,28329,There used to be big trees around my house.,3,3,0,0,0,N3,
176990,???????????,2758078,You should thank him.,0,0,3,0,1,N3,
200999,?????????????????????????????,38204,It's a good rule to look both ways before you cross the street anywhere.,4,2,2,0,0,N3,
182014,??????????????????????,19333,Kyoko had the kindness to carry my baggage for me.,1,6,0,1,0,N3,
114079,????????????,289593,He just barely succeeded.,0,0,2,0,1,N4,
85006,?????????????????,318707,She has lived alone ever since her husband died.,4,1,3,0,0,N4,
84874,???????????????????,318840,I don't think my father is willing to lend us the car.,2,2,0,1,0,N3,
8576611,?????????????????????,6064990,Have you seen wolves around here?,1,0,0,1,0,N4,
9679075,???????????????????????,7523953,Tom came home for the Thanksgiving weekend.,0,1,3,1,1,N3,
207777,?????????????????????,45031,How large is the audience?,1,1,1,0,2,N3,
9960453,???????????????,251524,My brother has been sick since yesterday.,1,2,3,0,0,N4,
85083,??????????????????????,318630,We happened to meet again through a strange coincidence.,0,4,3,1,1,N2,
90094,????????????????,313620,She is wearing an expensive necklace.,2,0,2,0,2,N4,
161406,????????????,253111,I always get up at six.,1,2,0,0,0,N5,
113930,????????????????????,289743,He is relied on by everyone in the class.,0,0,2,0,0,N4,
78853,????????????????,324863,You had better take your umbrella in case.,0,4,0,0,1,N4,
189507,???????????????????????????????,26659,You're always lying- that's why people don't take you seriously. You get what you deserve.,1,3,2,1,0,N3,
9478637,?????????????????,7785634,I exercise for an hour every day.,4,3,0,0,0,N4,
2355836,??????????,1090381,I'm disappointed in you.,0,0,1,0,0,N3,
125357,???????????????,278636,The thief fled without leaving any traces.,1,0,2,3,0,N3,
187329,???????????????????????,24466,"Years ago, she used to hang around with a bunch of bikers.",5,2,4,1,0,N2,
3266698,????????????,1790777,I did it for you.,0,0,0,0,0,N4,
10880137,?????????,8737514,There were only two.,1,0,0,0,0,N5,
94244,???????????????,309461,Her belief in God is very firm.,1,0,3,0,2,N4,
10212512,??????????????,9741263,This TV is big and expensive.,2,0,0,0,0,N5,
10234045,????????????????????????,10234027,October is the tenth month of the year.,4,1,1,0,0,N4,
147487,???????????????,267073,There was no objection on the part of the owner.,0,2,3,0,1,N3,
212248,???????????????,49530,I remember seeing the movie before.,1,2,1,0,0,N5,
121538,????????,282467,I was kicked in the back.,1,0,1,0,0,N4,
1471169,????????????????????,1556996,I listen to and prefer jazz over classical.,1,0,1,0,0,N4,
81421,?????????????????????????,322294,I heard from my sister. The letter says she is well now.,2,5,1,0,0,N3,
145888,?????????????????????????,268674,It is not good to talk with your mouth full.,2,2,0,0,0,N4,
168003,?????????????????,246492,Do I need to go there?,1,1,3,0,0,N3,
2733813,??????????????????,1024551,Tom lives from hand to mouth.,2,0,2,0,0,N3,
202783,????????????????????????,40018,We cannot tell a good person from a bad one by looks alone.,3,2,0,1,1,N2,
114506,?????????????????,289165,He really has it out for people.,1,0,1,0,0,N4,
8579904,???????,495668,You should quit smoking.,0,0,1,1,0,N4,
203320,????????????????,40557,It happened that I met her at the station yesterday.,1,2,1,0,0,N4,
9969751,????????????,277438,I'll get in touch with you as soon as I arrive.,0,1,1,1,0,N4,
141628,??????????????????????????,272942,The teacher was quite candid about my chances of entering Tokyo University.,5,1,6,0,1,N2,
185731,????????????????,22863,We will get to Tokyo Station at noon.,2,4,0,0,1,N3,
9392399,????????,9392385,The sun rises every day.,3,0,0,1,0,N4,
157425,??????????????????,257108,I shall want an explanation of your behavior.,2,2,1,0,1,N3,
105251,????????????????,298438,He is gradually coming to the front.,0,0,3,1,1,N2,
169659,??????????????????,244826,Did you enjoy watching the night game last night?,1,2,1,0,0,N4,
10280609,??????????????,2451690,I hate French.,2,0,0,0,1,N5,
113259,????????????????,290415,No sooner had he said it than he was sorry.,1,1,1,0,1,,
201145,?????????????,38351,How can we put it into practice?,1,0,1,0,0,,
3589994,??????????????,6561686,When did you start using that cellphone?,0,1,0,1,1,,
76985,??????????????????????????????????????,326734,"The ""predicate"" is that part that shows the action in the sentence. In Japanese it would be the part that ends in ""da"", ""suru"", etc.",3,2,5,1,0,,
105775,????????????????,297912,He rejected my offer flatly.,1,1,3,0,0,,
9943255,?????????????,4013701,It's probably just food poisoning.,2,0,1,0,0,,
10159828,??????,10158661,Where's the safe?,1,0,0,1,0,,
4561871,??????????????????????????1???????,4703116,"In my experience, it takes one year to learn French grammar.",2,3,4,0,0,,
218274,???????????????????,55586,This is a great time-saving gadget for the housewife.,1,2,4,1,1,,
774653,???????????????????????????,1008025,"What you eat, or what kind of life you live, are decided by you alone.",4,3,3,0,0,,
8522338,?????????,5825531,I teased Tom.,0,0,0,0,0,,
146531,?????????????????????,268031,The boy was gazing at a school of carp in the pond.,2,1,0,2,0,,
8691631,??????????????,8624994,My daughter lives with me.,1,2,2,0,0,,
11365420,??????????????????,3071640,It's too hot to go for a walk.,0,1,1,0,1,,
109726,???????????????????,293964,He expressed himself very well in English.,3,4,3,0,0,,
152934,???????????????,261611,I'm not interested in material gains.,0,5,2,0,1,,
10172722,?????????????????,10136195,You know that we lost.,0,2,1,0,0,,
76710,??????????????,327010,Don't sneak out of the concert!,0,0,0,0,0,,
138009,???????????????????????????,275226,"If you turn around, I'll fasten your dress for you.",0,1,3,0,0,,
5630908,????????????????????,6619932,Solving the problem of world hunger isn't my job.,0,7,2,0,2,,
9479912,??????????????,42763,It's just another story.,1,0,0,0,0,,
2584204,??????????????????????????????,2582099,Do you really care when I get this done as long as I get it done?,1,5,2,0,0,,
172113,?????????????,70788,It's your turn to sing.,1,2,1,0,0,,
161829,?????????????????????????,10276681,I want the same jacket as you're wearing.,1,3,1,0,0,,
95722,?????????????????????,307983,It's strange that she should have come home so late at night.,1,4,4,0,0,,
140746,?????????????????,273827,You can't have dessert until you finish your meal.,1,0,3,0,0,,
168205,???????????,246289,The manager stood at the door.,1,2,2,1,0,,
191333,??????????????,28495,Wishing you peace and happiness at Christmas.,0,1,1,0,0,,
208776,????????????????????,46035,I met him once when I was a student.,4,3,0,0,0,,
10587341,????????????????????????????,11232989,"The baby's tootsies feel nice and soft, don't they?",1,2,0,0,0,,
7562224,??????????????,10568355,The burden is gradually getting heavier.,0,1,0,1,0,,
9681779,???????????,9681750,When does a kitten become a cat?,1,0,2,0,0,,
92901,??????????????????,310808,She is bound to come here.,2,0,2,0,0,,
75407,??????????????????????????????,328312,"Never mind that. More importantly, if we don't go soon the time-limited sales will finish.",1,2,0,0,0,,
229265,???????????,66622,I come from England.,1,0,0,0,0,,
207661,??????????????????,44914,They deal in shoes and clothes at that store.,0,3,0,1,0,,
4744295,????????????????????????????,4764884,The Esperanto movement has always had to grapple with the problem of 'eternal beginners'.,0,6,4,1,0,,
140804,???????????????,273768,The whole population turned out in welcome.,1,0,5,0,1,,
10528323,?????????????,10528131,This class is already full.,0,1,1,0,0,,
179713,??????????????????????????????,18572,"No money, no job, no friends. He was truly at loose ends.",3,3,5,0,0,,
205353,?????????????,42596,It looks like an apple.,0,0,1,0,0,,
8614115,????????????,7736437,Tom is a good captain.,0,0,1,0,0,,
103988,??????????????,299704,He was made to work all day by the boss.,3,0,3,0,0,,
3484384,??????????????????,11180971,I wonder how I can get myself taller.,1,0,1,1,0,,
156927,?????????????,257607,I feel like having some pizza tonight.,2,1,1,0,0,,
203394,??????????????,40632,Stop smoking.,0,0,1,0,0,,
104728,???????????,298960,He certainly is smart.,1,0,3,0,1,,
119418,????????????????????????,284245,I could not but admire his courage.,0,1,2,1,1,,
157463,????????????????,257069,I'd like you to go there.,1,1,1,0,0,,
202758,??????????,3393231,Excuse me a moment.,0,0,2,0,0,,
8573864,?????????,2891439,Is that Tom's bedroom?,0,1,1,0,0,,
146586,????????????????????????,267976,The boy was absorbed in playing a computer game.,2,1,2,0,0,,
2238110,???????????????,294911,He is a person who never cuts corners.,1,1,3,0,0,,
120328,??????????????????,283681,It doesn't matter whether he agrees or not.,0,0,3,0,0,,
118253,?????????????????,285411,His behavior won general applause.,1,1,2,1,1,,
9848208,???????????,7480293,Butterflies lay eggs.,0,0,1,1,1,,
121086,?????????????????????????????,282922,I couldn't figure out where on earth he was heading for.,1,1,2,0,0,,
152234,??????????????????????,7646905,I have to get my watch repaired.,1,3,0,1,1,,
203368,???????????????,40605,I have been there scores of times.,1,1,0,0,0,,
194704,???????????????,31877,Mary really takes after her mother.,1,1,2,0,0,,
9697219,???????????????,11389095,My throat is sore from the secondhand smoke.,0,0,3,1,0,,
81856,????????????????????,63072,I was just in time for the last train.,2,1,1,0,1,,
103817,??????????????????,299875,He engages himself in every new project.,1,3,2,0,0,,
212192,??????????????????,49471,The chimney is belching black smoke.,1,2,3,0,1,,
120930,?????????????????,283013,It is surprising that he should not know this.,0,1,1,0,1,,
177360,??????????,16210,You'd better hurry up.,0,1,0,0,0,,
226339,?????????????????????????,63680,It was once believed that tomatoes were poisonous.,0,1,1,1,0,,
9859124,?????????????,9206581,Do you mind if I wait here?,0,1,0,0,0,,
222775,????????????????????,60105,This song reminds me of the good old days.,2,5,1,0,0,,
228916,????????????????,66275,Where ever did you buy it?,0,1,0,0,0,,
8428840,???????????,10206660,I will contact you again in the future.,2,0,1,1,0,,
224934,?????????,1907148,"Coffee, please.",0,0,0,0,0,,
98329,??????????????,305373,They were very tired indeed.,0,0,3,0,0,,
5955968,???????,2175,No way!,0,0,0,0,0,,
160540,?????????????????,253981,I quickly adapted myself to my new school.,2,2,1,1,0,,
5373563,???????????????????,6586828,Have you talked to anyone about this problem?,1,2,0,0,0,,
104753,???????????,298937,He made amends for his mistakes.,0,0,3,0,1,,
149080,?????????????,265479,Could you give me a lift in your car?,2,0,1,0,0,,
223511,????????????????????,60846,This textbook is written in simple English.,2,1,1,0,0,,
4265205,????????????,16428,Can you speak French?,1,0,0,0,0,,
195565,???????????????????????,32738,"First of all, we must dismiss him.",1,1,3,0,1,,
1884019,???????????????????????,246630,"No matter what I did, no one paid any attention to me.",2,2,0,0,0,,
11339946,???????????????????,5784154,Ask Tom if you have any doubts.,1,1,1,0,0,,
432838,??????????????,432837,I wish to become a dentist in the future.,1,3,1,1,0,,
161512,????????????????,253004,I'm a big fan of American cooking.,1,3,1,0,0,,
2260045,?????????????????,2595672,Tom's sentences are really hard to translate.,1,1,0,1,1,,
92375,??????????????,311336,She was dismayed at the news.,1,1,2,0,1,,
2533626,?????????????,1141091,Tom took the wrong train.,3,0,2,0,0,,
9943068,??????????????,9699033,I'll meet you at the station tomorrow.,1,3,0,0,0,,
182170,????????????,19394,I was hit by a huge chunk of meat.,1,1,1,1,1,,
80126,???????????????,323590,There are some boys under the tree.,5,1,0,0,0,,
231838,?????????????????????,69205,Do you get along with your boss?,1,0,0,0,1,,
2511663,??????????????????????,2511665,"In a quivering voice she cried ""Help!""",1,0,3,1,0,,
2659140,?????????,1830417,Tom has already eaten.,1,0,0,0,0,,
8672364,?????????,8584658,Tom is on a trip.,2,1,0,0,0,,
3875289,?????????????,3823753,Don't forget to do your homework.,0,1,2,0,0,,
10906804,????????????,5737823,These are fully functional.,0,0,4,0,0,,
92705,????????????????,311004,She kept on asking me questions the whole time.,1,2,1,0,0,,
10679869,?????????????,54164,Are these all the sizes you have?,0,0,2,0,0,,
156018,??????????,258518,I hadn't seen for ten years.,3,1,0,0,0,,
10336676,????????????,9741444,His thesis is absurd.,0,3,3,1,0,,
199515,?????????????????????,36717,"However fast you run, you won't be in time.",1,1,2,0,0,,
993535,?????????,267535,It's too small.,1,0,0,0,0,,
2216639,???????????,1895570,You're so bossy.,2,0,1,0,1,,
173817,???????????,240653,The pleasure is mine.,0,1,1,0,0,,
102750,??????????????????,300944,He gave money to each of his sons.,6,0,2,0,0,,
10666322,??????????????,2011319,Tom wanted Mary.,0,0,1,0,0,,
101936,??????????,301757,He looked up at the ceiling.,3,0,1,0,1,,
11244966,?????????????????,5485373,The children played on the monkey bars.,1,0,2,0,0,,
126710,?????????,277380,Forgive me for being late.,0,0,1,0,0,,
9029054,???????????,2747369,I hate children.,2,0,1,0,1,,
98113,???????????????,305589,They are engaged in cancer research.,0,1,2,1,1,,
204423,?????????????????,41566,That can't be true.,1,0,1,0,0,,
196134,??????????????????????,33310,Most big Japanese companies depend on exports.,4,2,1,1,0,,
1369121,???????????????????????,1397016,Please be sure to close the cap properly after use.,1,2,1,0,0,,
10692331,????????????????,10366256,Bears love the smell of kerosene.,1,0,1,2,1,,
393792,???????????????,393793,"Contrary to expectations, they won with ease.",0,1,4,0,0,,
10550442,??????????????,5629472,Tom works in a coffee shop.,0,2,1,1,0,,
174417,?????????????,240052,Will it rain this afternoon?,3,0,0,0,0,,
6044870,YouTube????????????????,6050897,YouTube registration requires a real name and an address.,2,1,3,1,0,,
99988,????????????,303709,He put his eye to a telescope.,0,1,4,0,1,,
161905,????????????????,252611,I make it a rule to get up at six.,1,2,0,0,0,,
93529,??????????????,310178,She married again in her mid-forties.,2,1,2,1,0,,
93294,??????????????????????,310403,She is always complaining about something or other.,2,2,2,0,0,,
220608,?????????????????,57930,Unemployment in this part of the country is virtually nonexistent.,0,2,2,1,0,,
102431,????????????????????????,301263,He is not so much a professor as a school teacher.,5,2,2,0,1,,
203142,?????????????????,40378,Nobody knows what has become of him.,0,1,1,0,0,,
104366,??????????,299325,He changed his address.,0,1,3,0,0,,
112375,?????????????,291302,He has nothing to do with the matter.,0,2,3,0,0,,
1872179,???????,506446,Don't worry.,0,1,1,0,0,,
196200,???????????,33377,Let's inquire about our hotel reservations.,0,0,2,0,0,,
10977055,???????????????,236789,The soup is terribly hot.,0,0,0,1,0,,
126695,??????,277394,Don't be late.,0,0,1,0,0,,
222765,?????????????????????,60095,This song always reminds me of my childhood.,3,2,1,0,0,,
8677376,?????????????????????????,3619763,Tom and I used to go to a lot of concerts.,2,2,0,0,0,,
2724923,?????????????????????,2725841,They say that you don't gain weight no matter how much you eat in the morning.,1,1,1,0,0,,
207390,???????????????????,44642,Those two ideas are quite distinct.,1,2,0,1,0,,
120953,????????????????,283055,It was impolite of him to do so.,0,1,2,1,0,,
151343,????????????????????????????,263213,We'll have to be careful not to play into his hands.,1,3,3,0,0,,
10906873,?????????????????????????????,3527761,Do you think Tom knows I want to go to Boston?,1,3,0,0,0,,
191217,???????????????,28379,I'll never do this again.,1,1,0,0,0,,
8983504,???????????????,6344978,I translated the contract into French.,2,0,1,0,2,,
200699,??????,623565,Get lost!,1,0,0,0,0,,
178108,?????????????????,16960,Your efforts will bear fruit someday.,0,1,3,0,1,,
143625,???????????????,270766,We cannot do without water.,1,0,0,1,0,,
209559,????????????????,46821,The car is exceeding the speed limit.,1,1,4,1,0,,
93067,???????????????????,310642,She kissed her mother good night.,2,0,1,0,0,,
183255,??????????????????????,20378,"He is a good fellow, to be sure, but he isn't reliable.",0,0,4,0,0,,
94048,?????????????????,309658,Her beautiful dress drew my attention.,1,4,3,0,0,,
99982,????????????,303715,He felt the lure of adventure.,0,0,3,0,3,,
101096,???????????????????????,302601,He resented that she was dating his brother.,1,2,3,0,0,,
